"","SCHOOL_OBJECTID","SCHOOL_ID","SCHOOL_NAME","SCHOOL_NUMB","ASSIGHED_OBJECTID","ASSIGNED_SCHOOL_ID","ASSIGHED_NAME","ASSIGHED_NUMB","COMPLEX_ID","HOUSE_ID_COUNT","SELF","ZERO_ASSIGNED"
"78",85,10139,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артема Боровика",1562,603,10539,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1965",1965,433,15,FALSE,FALSE
"79",84,10138,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1967",1967,603,10539,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1965",1965,433,15,FALSE,FALSE
"80",614,10549,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,614,10549,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,93,0,TRUE,TRUE
"81",1670,11447,"Государственное бюджетное образовательное учреждение города Москвы центр образования №2010",2010,616,10550,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1986 имени Героя Советского Союза М.П.Судакова",1986,476,252,FALSE,FALSE
"82",1671,11448,"Государственное бюджетное образовательное учреждение города Москвы центр образования №2010",2010,616,10550,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1986 имени Героя Советского Союза М.П.Судакова",1986,476,252,FALSE,FALSE
"83",1413,11172,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1354",1354,1067,10565,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2003",2003,576,39,FALSE,FALSE
"84",517,10462,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1978",1978,1068,10573,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2014",2014,525,11,FALSE,FALSE
"85",518,10461,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1492",1492,1068,10573,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2014",2014,525,11,FALSE,FALSE
"86",1951,10028,"Государственное бюджетное образовательное учреждение города Москвы «Воробьевы горы»",NA,1079,10610,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №22",22,857,18,FALSE,FALSE
"87",1995,10035,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №205 имени Героя Советского Союза Е.К. Лютикова",205,675,10612,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №221",221,211,194,FALSE,FALSE
"88",71,10129,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540",1540,680,10617,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №228",228,37,131,FALSE,FALSE
"89",5,10065,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1554",1554,701,10638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №258",258,291,16,FALSE,FALSE
"90",4,10063,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1627",1627,701,10638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №258",258,291,16,FALSE,FALSE
"91",3,10064,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1709",1709,701,10638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №258",258,291,16,FALSE,FALSE
"92",1914,10011,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1856",1856,718,10656,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №283",283,262,59,FALSE,FALSE
"93",161,10217,"Государственное бюджетное образовательное учреждение города Москвы лицей №1568",1568,732,10669,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №307",307,268,41,FALSE,FALSE
"94",137,10189,"Государственное бюджетное образовательное учреждение города Москвы гимназия «Государственная столичная гимназия»",NA,744,10683,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №332",332,250,36,FALSE,FALSE
"95",223,10120,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1530 «Школа Ломоносова»",1530,1096,10708,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №378",378,829,111,FALSE,FALSE
"96",224,10121,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1530 «Школа Ломоносова»",1530,1096,10708,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №378",378,829,111,FALSE,FALSE
"97",1993,10001,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №459",459,827,10763,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №481 имени Маршала Советского Союза И.Х. Баграмяна",481,499,39,FALSE,FALSE
"98",1928,10021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №530",530,829,10765,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №485",485,448,81,FALSE,FALSE
"99",665,10601,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1804 «Кожухово»",1804,829,10765,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №485",485,448,81,FALSE,FALSE
"100",664,10600,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №490",490,829,10765,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №485",485,448,81,FALSE,FALSE
"101",1948,10032,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1426",1426,850,10779,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №508",508,363,59,FALSE,FALSE
"102",1961,10022,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1279",1279,854,10785,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №516",516,570,34,FALSE,FALSE
"103",113,10173,"Государственное бюджетное образовательное учреждение города Москвы гимназия №45 имени Л.И.Мильграма",45,856,10790,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №520",520,505,65,FALSE,FALSE
"104",112,10172,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №45",45,856,10790,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №520",520,505,65,FALSE,FALSE
"105",1117,10794,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №528",528,1117,10794,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №528",528,933,0,TRUE,TRUE
"106",68,10126,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1536",1536,862,10796,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №53",53,561,39,FALSE,FALSE
"107",1960,10014,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1676",1676,865,10797,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №531",531,585,40,FALSE,FALSE
"108",1121,10814,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №555",555,1121,10814,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №555",555,934,0,TRUE,TRUE
"109",2003,10006,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №1771",1771,902,10823,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №581",581,361,89,FALSE,FALSE
"110",107,10168,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1636 «Ника»",1636,902,10823,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №581",581,361,89,FALSE,FALSE
"111",145,10201,"Государственное бюджетное образовательное учреждение города Москвы лицей №1533 информационных технологий",1533,903,10824,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №584",584,605,24,FALSE,FALSE
"112",1908,10005,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1704",1704,924,10840,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №609",609,801,67,FALSE,FALSE
"113",252,10223,"Государственное бюджетное образовательное учреждение города Москвы лицей №1580 при МГТУ имени Н.Э.Баумана",1580,1128,10856,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №639",639,848,303,FALSE,FALSE
"114",251,10224,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №537",537,1128,10856,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №639",639,848,303,FALSE,FALSE
"115",1110,10739,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №433 имени Героя Советского Союза И.И.Якушкина",433,1132,10880,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №688",688,657,332,FALSE,FALSE
"116",259,10237,"Государственное бюджетное образовательное учреждение города Москвы лицей №1550",1550,976,10884,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №698",698,178,62,FALSE,FALSE
"117",989,10896,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №72",72,989,10896,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №72",72,755,0,TRUE,TRUE
"118",1969,10050,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1130",1130,1137,10903,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №731",731,821,585,FALSE,FALSE
"119",1974,10054,"Новая школа ЖК «Головино»",NA,1001,10912,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №744 имени Петра Николаевича Еремеева",744,203,54,FALSE,FALSE
"120",226,10142,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1567",1567,1141,10915,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №75",75,859,172,FALSE,FALSE
"121",1918,10033,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1778 «Московский Шереметьевский кадетский корпус»",1778,1018,10928,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №762",762,283,100,FALSE,FALSE
"122",1905,11492,"Государственное бюджетное образовательное учреждение города Москвы лицей №1310 культурологический",1310,1720,10954,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №796",796,838,68,FALSE,FALSE
"123",1940,10008,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1632",1632,1732,11000,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №871",871,852,44,FALSE,FALSE
"124",59,10117,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1717",1528,1232,11021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №897",897,783,33,FALSE,FALSE
"125",60,10118,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1528",1528,1232,11021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №897",897,783,33,FALSE,FALSE
"126",58,10116,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1667",1667,1232,11021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №897",897,783,33,FALSE,FALSE
"127",1988,10040,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №96",96,1291,11061,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №82",82,47,220,FALSE,FALSE
"128",209,10089,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1503",1503,1371,11125,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1201",1201,826,73,FALSE,FALSE
"129",210,10090,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1503",1503,1371,11125,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1201",1201,826,73,FALSE,FALSE
"130",169,10226,"Государственное бюджетное образовательное учреждение города Москвы лицей №1586",1586,1379,11131,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1214",1214,768,50,FALSE,FALSE
"131",250,10222,"Государственное бюджетное образовательное учреждение города Москвы лицей №1575",1575,1405,11164,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1289",1289,210,266,FALSE,FALSE
"132",1911,10031,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1122",1122,1434,11194,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №655",655,235,43,FALSE,FALSE
"133",1987,10041,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1259",1259,1480,11227,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1258",1258,23,295,FALSE,FALSE
"134",513,10459,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №148",148,1482,11228,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1288",1288,134,273,FALSE,FALSE
"135",238,10195,"Государственное бюджетное образовательное учреждение города Москвы лицей №1502 при МЭИ",1502,1501,11240,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №380",280,613,86,FALSE,FALSE
"136",1975,10045,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат №42",42,1780,11251,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики №1384 имени А.А. Леманского",1384,874,159,FALSE,FALSE
"137",277,10261,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1826",1826,1785,11256,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1211",1211,181,81,FALSE,FALSE
"138",260,10242,"Государственное бюджетное образовательное учреждение города Москвы лицей №1501 «Многопрофильный технический лицей»",1501,1788,11262,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1277",1277,884,131,FALSE,FALSE
"139",1801,11290,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики №2007",2007,1801,11290,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики №2007",2007,945,0,TRUE,TRUE
"140",1815,11330,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования №1871",1871,1815,11330,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования №1871",1871,951,0,TRUE,TRUE
"141",1043,10425,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1181",1181,1820,11335,"Государственное бюджетное образовательное учреждение города Москвы центр образования №109",109,966,29,FALSE,FALSE
"142",1962,10030,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №109 «Подразделение в ФНКЦ ДГОИ им. Димы Рогачева»",109,1820,11335,"Государственное бюджетное образовательное учреждение города Москвы центр образования №109",109,966,29,FALSE,FALSE
"143",1828,11344,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1311 «Тхия»",1311,1828,11344,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1311 «Тхия»",1311,954,0,TRUE,TRUE
"144",73,10131,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1542",1542,1830,11346,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1364",1364,779,194,FALSE,FALSE
"145",1438,11196,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1944",1944,1839,11379,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1463",1463,106,98,FALSE,FALSE
"146",1866,11422,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1685",1685,1866,11422,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1685",1685,958,0,TRUE,TRUE
"147",1694,11469,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,1694,11469,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,8,0,TRUE,TRUE
"148",1696,11470,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,1694,11469,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,8,0,FALSE,TRUE
"149",1693,11471,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №168",168,1694,11469,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,8,0,FALSE,TRUE
"150",1894,11475,"Государственное бюджетное образовательное учреждение города Москвы центр образования №686 «Класс-центр»",686,1894,11475,"Государственное бюджетное образовательное учреждение города Москвы центр образования №686 «Класс-центр»",686,960,0,TRUE,TRUE
"151",1904,11491,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1543 на Юго-Западе",1543,1904,11491,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1543 на Юго-Западе",1543,962,0,TRUE,TRUE
